Date,Value
2014-08-31,728588.2353
2014-07-31,767692.0769
2014-05-31,999999.0
2013-08-31,789500.0
2013-07-31,759945.0
2013-06-30,691123.5294
2013-05-31,671300.0
2012-09-30,644000.0
2012-08-31,729750.0
2012-07-31,744117.6471
2012-06-30,900000.0
2011-09-30,913650.0
2011-08-31,967125.0
2011-07-31,926029.4118
2011-06-30,877500.0
2010-09-30,675000.0
2010-08-31,685730.7692
2010-06-30,721500.0
2009-10-31,860000.0
2007-08-31,835000.0
2006-08-31,692500.0
2006-05-31,671923.0769
2006-03-31,895000.0
2005-06-30,676923.0769
2005-04-30,816470.5882
2005-03-31,740000.0
2004-10-31,717425.0
2004-09-30,835325.0
2004-08-31,873257.5
2004-07-31,740017.5
2004-06-30,753525.0
2004-05-31,674000.0
2004-04-30,554250.0
2004-03-31,516750.0
2004-02-29,486764.7059
2004-01-31,425000.0
2003-09-30,869269.2308
2003-07-31,762500.0
2003-03-31,600000.0
2002-08-31,699000.0
2001-08-31,608500.0
2000-12-31,430769.2308
2000-10-31,378250.0
2000-09-30,357058.8235
2000-08-31,360923.0769
2000-06-30,361500.0
2000-05-31,382350.0
2000-03-31,559000.0
1999-11-30,507692.3077
1999-09-30,250000.0
1998-10-31,521100.0
1998-08-31,430294.1176
1998-07-31,375000.0
1998-03-31,376058.8235
1998-02-28,398461.5385
1997-12-31,230000.0
1997-09-30,411764.7059
1997-08-31,450000.0
1997-05-31,225000.0
1996-12-31,391500.0
1996-09-30,331500.0
1996-06-30,350000.0
