Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2016-11-16,217.56,218.14,217.42,217.87,65512694.0,0.0,1.0,217.56,218.14,217.42,217.87,65512694.0
2016-11-15,217.04,218.28,216.8,218.28,91451829.0,0.0,1.0,217.04,218.28,216.8,218.28,91451829.0
2016-11-14,217.03,217.27,215.72,216.59,94503060.0,0.0,1.0,217.03,217.27,215.72,216.59,94503060.0
2016-11-11,216.08,216.7,215.32,216.42,100552732.0,0.0,1.0,216.08,216.7,215.32,216.42,100552732.0
2016-11-10,217.3,218.31,215.22,216.92,171986279.0,0.0,1.0,217.3,218.31,215.22,216.92,171986279.0
2016-11-09,212.37,217.1,212.34,216.3792,258205742.0,0.0,1.0,212.37,217.1,212.34,216.3792,258205742.0
2016-11-08,212.69,214.77,212.38,214.11,105333558.0,0.0,1.0,212.69,214.77,212.38,214.11,105333558.0
2016-11-07,211.45,213.19,211.3,213.15,109794861.0,0.0,1.0,211.45,213.19,211.3,213.15,109794861.0
2016-11-04,208.91,209.89,208.38,208.55,109045871.0,0.0,1.0,208.91,209.89,208.38,208.55,109045871.0
2016-11-03,209.99,210.24,208.46,208.78,88880530.0,0.0,1.0,209.99,210.24,208.46,208.78,88880530.0
2016-11-02,210.65,211.1,209.23,209.74,103158876.0,0.0,1.0,210.65,211.1,209.23,209.74,103158876.0
2016-11-01,212.93,212.99,209.6,211.01,122744180.0,0.0,1.0,212.93,212.99,209.6,211.01,122744180.0
2016-10-31,212.93,213.19,212.36,212.55,61220167.0,0.0,1.0,212.93,213.19,212.36,212.55,61220167.0
2016-10-28,213.14,213.93,211.71,212.54,140549682.0,0.0,1.0,213.14,213.93,211.71,212.54,140549682.0
2016-10-27,214.58,214.62,213.08,213.17,77220213.0,0.0,1.0,214.58,214.62,213.08,213.17,77220213.0
2016-10-26,213.21,214.42,212.93,213.74,75682128.0,0.0,1.0,213.21,214.42,212.93,213.74,75682128.0
2016-10-25,214.68,214.98,213.98,214.17,66503743.0,0.0,1.0,214.68,214.98,213.98,214.17,66503743.0
2016-10-24,215.0,215.32,214.48,214.89,60122839.0,0.0,1.0,215.0,215.32,214.48,214.89,60122839.0
2016-10-21,212.96,214.08,212.76,213.98,89055352.0,0.0,1.0,212.96,214.08,212.76,213.98,89055352.0
2016-10-20,213.87,214.53,213.11,213.88,73550472.0,0.0,1.0,213.87,214.53,213.11,213.88,73550472.0
2016-10-19,214.02,214.64,213.6,214.28,66519224.0,0.0,1.0,214.02,214.64,213.6,214.28,66519224.0
2016-10-18,214.24,214.31,213.27,213.71,76869656.0,0.0,1.0,214.24,214.31,213.27,213.71,76869656.0
2016-10-17,213.09,213.39,212.17,212.38,58275674.0,0.0,1.0,213.09,213.39,212.17,212.38,58275674.0
2016-10-14,214.15,214.69,213.03,213.12,93326661.0,0.0,1.0,214.15,214.69,213.03,213.12,93326661.0
2016-10-13,212.16,213.59,211.21,213.01,101356960.0,0.0,1.0,212.16,213.59,211.21,213.01,101356960.0
2016-10-12,213.59,214.32,213.01,213.71,73778948.0,0.0,1.0,213.59,214.32,213.01,213.71,73778948.0
2016-10-11,215.66,215.74,212.58,213.43,130306187.0,0.0,1.0,215.66,215.74,212.58,213.43,130306187.0
2016-10-10,216.155,216.7,215.985,216.16,51855023.0,0.0,1.0,216.155,216.7,215.985,216.16,51855023.0
2016-10-07,216.1,216.3,214.19,215.04,89773110.0,0.0,1.0,216.1,216.3,214.19,215.04,89773110.0
2016-10-06,215.37,216.04,214.735,215.78,62656761.0,0.0,1.0,215.37,216.04,214.735,215.78,62656761.0
2016-10-05,215.41,216.13,215.33,215.63,72815963.0,0.0,1.0,215.41,216.13,215.33,215.63,72815963.0
2016-10-04,215.91,216.17,213.99,214.68,119948052.0,0.0,1.0,215.91,216.17,213.99,214.68,119948052.0
2016-10-03,215.82,216.04,215.04,215.78,83465745.0,0.0,1.0,215.82,216.04,215.04,215.78,83465745.0
2016-09-30,215.65,217.12,215.36,216.3,116988029.0,0.0,1.0,215.65,217.12,215.36,216.3,116988029.0
2016-09-29,216.4,216.87,214.04,214.68,127922437.0,0.0,1.0,216.4,216.87,214.04,214.68,127922437.0
2016-09-28,215.83,216.82,214.71,216.64,87290975.0,0.0,1.0,215.83,216.82,214.71,216.64,87290975.0
