Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,38.5,38.5,34.75,36.1875,367000,12.869059
2000-01-04,36.375,36.375,34.875,35.625,175200,12.669022
2000-01-05,35.625,36.5,35.125,36.1875,213800,12.869059
2000-01-06,35.9375,36.125,35.3125,36.0,511800,12.80238
2000-01-07,36.25,37.75,35.9375,37.4375,339800,13.313585999999999
2000-01-10,38.125,38.125,36.25,36.375,297400,12.935738
2000-01-11,36.5625,36.75,35.9375,36.0,238600,12.80238
2000-01-12,36.1875,36.875,35.6875,36.0,187400,12.80238
2000-01-13,36.0,36.1875,35.5625,35.875,272600,12.757927
2000-01-14,36.0,36.1875,35.0,35.4375,330600,12.602343
2000-01-18,35.3125,35.5,34.625,34.875,247000,12.402306
2000-01-19,34.9375,35.25,34.6875,34.875,162400,12.402306
2000-01-20,34.875,35.25,33.9375,34.25,189800,12.180042
2000-01-21,34.75,34.875,34.0625,34.5625,183200,12.291174
2000-01-24,34.3125,34.5,32.5625,33.0,476800,11.735515
2000-01-25,33.5,33.5,31.25,31.9375,716800,11.357667
2000-01-26,32.125,32.5,31.5625,31.8125,289400,11.370175999999999
2000-01-27,32.0625,33.625,31.875,32.875,661400,11.749927
2000-01-28,32.875,33.125,32.125,32.75,260000,11.70525
2000-01-31,33.0,34.25,32.25,33.5,657200,11.973309
2000-02-01,33.75,34.25,33.25,33.6875,342600,12.040324
2000-02-02,34.25,35.5,34.25,34.3125,732200,12.263707
2000-02-03,34.125,34.875,33.8125,34.4375,589200,12.308383000000001
2000-02-04,34.375,34.875,34.375,34.5625,271200,12.353060000000001
2000-02-07,35.125,37.375,34.75,36.6875,774800,13.112561
2000-02-08,36.9375,38.0,35.625,36.0,526800,12.86684
2000-02-09,36.0,36.375,35.25,36.0625,396000,12.889178
2000-02-10,35.9375,36.0,35.3125,35.875,414800,12.822163
2000-02-11,36.25,36.25,34.375,34.375,154200,12.286045
2000-02-14,34.75,35.9375,34.625,35.875,376400,12.822163
