Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,31.8125,31.9375,30.25,30.5,599800,21.837782
2000-01-04,30.125,30.625,29.625,29.9375,450500,21.435036
2000-01-05,29.9375,30.0,28.875,28.9375,680300,20.719044
2000-01-06,29.1875,30.0,28.6875,29.5625,890400,21.166539
2000-01-07,30.875,30.875,29.75,30.0,852000,21.479785999999997
2000-01-10,30.25,30.25,29.25,29.875,913000,21.390287
2000-01-11,29.5625,29.6875,29.0625,29.5,936900,21.12179
2000-01-12,29.4375,29.5,28.75,29.125,805200,20.853292
2000-01-13,29.625,29.625,29.125,29.375,668600,21.03229
2000-01-14,29.3125,30.125,29.3125,29.4375,961500,21.07704
2000-01-18,29.6875,29.6875,29.125,29.375,510600,21.03229
2000-01-19,29.125,29.3125,28.875,29.0625,653400,20.808543
2000-01-20,29.1875,29.1875,27.5625,27.625,915100,19.779303
2000-01-21,27.6875,27.6875,26.5625,26.75,1120600,19.152809
2000-01-24,27.0,27.3125,26.625,26.6875,772200,19.108060000000002
2000-01-25,26.6875,27.125,26.4375,26.625,524800,19.06331
2000-01-26,26.375,27.75,26.0625,27.5,842500,19.689804000000002
2000-01-27,27.4375,27.4375,25.6875,26.4375,809400,19.031487
2000-01-28,26.6875,26.6875,25.625,25.9375,513700,18.671553
2000-01-31,25.875,26.75,25.625,26.75,590200,19.256445000000003
2000-02-01,26.5,26.75,26.1875,26.3125,672200,18.941503
2000-02-02,26.5,26.8125,25.75,25.9375,574700,18.671553
2000-02-03,26.0625,26.9375,25.96875,26.4375,814800,19.031487
2000-02-04,26.6875,26.75,26.1875,26.5,549000,19.076478
2000-02-07,26.5,26.5625,26.1875,26.3125,367000,18.941503
2000-02-08,26.4375,26.625,25.75,25.8125,719400,18.581570000000003
2000-02-09,26.0625,26.125,25.6875,25.6875,767300,18.491585999999998
2000-02-10,17.0,17.4375,15.125,15.8125,18414900,11.382899
2000-02-11,15.6875,15.75,13.75,15.0,11680000,10.798007
2000-02-14,14.9375,14.9375,13.5,14.1875,7098500,10.213115
2000-02-15,13.8125,14.125,13.0,13.4375,6253900,9.673214
2000-02-16,13.4375,13.75,13.125,13.25,4333100,9.538239
2000-02-17,13.5625,15.25,13.4375,15.0625,8587100,10.842998
2000-02-18,14.9375,15.1875,14.125,14.25,3060100,10.258106
2000-02-22,14.125,14.625,14.0625,14.375,2121600,10.34809
